SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Nov 09 12:17:44 BRST 2020
User: Administrador
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4F02573
Integration Time (usec): 100000 (USB4F02573)
Spectra Averaged: 1 (USB4F02573)
Boxcar Smoothing: 0 (USB4F02573)
Correct for Electrical Dark: Yes (USB4F02573)
Strobe/Lamp Enabled: No (USB4F02573)
Correct for Detector Non-linearity: No (USB4F02573)
Correct for Stray Light: No (USB4F02573)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
345,22	-146,20
345,44	-146,20
345,66	-146,20
345,88	-129,82
346,10	-99,10
346,32	95,46
346,54	66,79
346,75	120,03
346,97	-2,84
347,19	132,32
347,41	46,31
347,63	97,51
347,85	21,73
348,07	68,83
348,29	120,03
348,51	89,31
348,73	72,93
348,95	11,49
349,16	89,31
349,38	128,23
349,60	181,47
349,82	158,95
350,04	72,93
350,26	210,14
350,48	208,10
350,70	195,81
350,92	117,99
351,14	89,31
351,35	185,57
351,57	175,33
351,79	177,38
352,01	136,42
352,23	95,46
352,45	113,89
352,67	132,32
352,89	115,94
353,10	204,00
353,32	146,66
353,54	228,58
353,76	197,86
353,98	193,76
354,20	191,71
354,42	154,85
354,64	111,84
354,85	212,19
355,07	187,62
355,29	117,99
355,51	117,99
355,73	122,08
355,95	31,97
356,17	201,95
356,38	109,79
356,60	189,66
356,82	156,90
357,04	15,59
357,26	124,13
357,48	210,14
357,69	177,38
357,91	105,70
358,13	99,55
358,35	267,49
358,57	183,52
358,79	212,19
359,01	236,77
359,22	156,90
359,44	228,58
359,66	249,06
359,88	36,07
360,10	177,38
360,32	146,66
360,53	97,51
360,75	183,52
360,97	175,33
361,19	152,80
361,41	216,29
361,62	169,18
361,84	146,66
362,06	169,18
362,28	72,93
362,50	195,81
362,72	152,80
362,93	70,88
363,15	72,93
363,37	130,27
363,59	150,75
363,81	126,18
364,02	232,67
364,24	146,66
364,46	195,81
364,68	122,08
364,90	292,06
365,11	216,29
365,33	216,29
365,55	81,12
365,77	31,97
365,99	101,60
366,20	247,01
366,42	222,43
366,64	124,13
366,86	144,61
367,07	197,86
367,29	50,40
367,51	91,36
367,73	138,47
367,95	199,90
368,16	171,23
368,38	208,10
368,60	150,75
368,82	87,27
369,03	296,16
369,25	234,72
369,47	138,47
369,69	134,37
369,91	220,38
370,12	85,22
370,34	77,03
370,56	111,84
370,78	273,63
370,99	218,34
371,21	195,81
371,43	62,69
371,65	-0,80
371,86	122,08
372,08	253,15
372,30	183,52
372,52	130,27
372,73	85,22
372,95	177,38
373,17	62,69
373,39	175,33
373,60	156,90
373,82	179,42
374,04	124,13
374,26	91,36
374,47	171,23
374,69	113,89
374,91	251,10
375,12	167,14
375,34	99,55
375,56	165,09
375,78	105,70
375,99	163,04
376,21	220,38
376,43	220,38
376,65	220,38
376,86	208,10
377,08	126,18
377,30	244,96
377,51	158,95
377,73	142,56
377,95	232,67
378,17	134,37
378,38	120,03
378,60	171,23
378,82	234,72
379,03	191,71
379,25	175,33
379,47	283,87
379,68	109,79
379,90	122,08
380,12	226,53
380,34	122,08
380,55	195,81
380,77	216,29
380,99	120,03
381,20	277,73
381,42	150,75
381,64	142,56
381,85	146,66
382,07	230,62
382,29	220,38
382,50	142,56
382,72	187,62
382,94	181,47
383,15	122,08
383,37	163,04
383,59	136,42
383,80	87,27
384,02	238,82
384,24	228,58
384,45	216,29
384,67	197,86
384,89	120,03
385,10	210,14
385,32	292,06
385,54	298,21
385,75	160,99
385,97	234,72
386,19	232,67
386,40	238,82
386,62	156,90
386,84	107,75
387,05	210,14
387,27	138,47
387,49	183,52
387,70	64,74
387,92	130,27
388,14	107,75
388,35	154,85
388,57	132,32
388,79	281,82
389,00	91,36
389,22	224,48
389,43	154,85
389,65	253,15
389,87	206,05
390,08	152,80
390,30	175,33
390,52	251,10
390,73	249,06
390,95	132,32
391,17	218,34
391,38	185,57
391,60	210,14
391,81	236,77
392,03	66,79
392,25	142,56
392,46	113,89
392,68	290,02
392,89	236,77
393,11	175,33
393,33	189,66
393,54	212,19
393,76	281,82
393,98	181,47
394,19	156,90
394,41	165,09
394,62	40,16
394,84	208,10
395,06	177,38
395,27	126,18
395,49	154,85
395,70	312,54
395,92	101,60
396,13	165,09
396,35	230,62
396,57	167,14
396,78	117,99
397,00	130,27
397,21	199,90
397,43	218,34
397,65	150,75
397,86	224,48
398,08	87,27
398,29	316,64
398,51	183,52
398,72	247,01
398,94	232,67
399,16	169,18
399,37	210,14
399,59	312,54
399,80	175,33
400,02	226,53
400,23	230,62
400,45	312,54
400,67	257,25
400,88	218,34
401,10	193,76
401,31	158,95
401,53	130,27
401,74	232,67
401,96	163,04
402,17	136,42
402,39	204,00
402,61	257,25
402,82	109,79
403,04	267,49
403,25	224,48
403,47	285,92
403,68	199,90
403,90	316,64
