0 , -1.99789e-18 , -1.99789e-18
1 , 6.71854e-18 , 9.38374e-18
2 , 1.04704e-18 , 1.20992e-18
3 , 2.51717e-18 , 2.1527e-18
4 , 4.19075e-18 , 4.03359e-18
5 , 5.5208e-18 , 7.42241e-18
6 , 8.92996e-19 , 1.034e-18
7 , 3.72016e-18 , 4.56896e-18
8 , -8.50647e-18 , -8.29381e-18
9 , 2.72155e-18 , 2.51995e-18
10 , 7.25746e-18 , 6.47987e-18
11 , 1.92961e-18 , 1.92961e-18
12 , 2.24534e-18 , 1.85056e-18
13 , 1.49399e-18 , 1.96256e-18
14 , 6.71854e-18 , 6.35207e-18
16 , 6.89146e-18 , 6.76616e-18
17 , 1.96622e-18 , 2.15899e-18
18 , -1.21015e-18 , -1.25415e-18
19 , 7.25746e-18 , 7.05586e-18
20 , 6.25097e-18 , 5.55642e-18
21 , 1.81436e-18 , 2.11676e-18
22 , 3.38842e-18 , 4.84059e-18
23 , 8.43949e-19 , 7.03782e-19
24 , -2.62493e-18 , -2.37884e-18
25 , 5.98027e-19 , 5.54054e-19
26 , -2.09553e-19 , -2.08104e-19
27 , 6.89146e-18 , 9.77335e-18
28 , -1.53263e-18 , -1.46855e-18
29 , 2.67066e-18 , 3.44515e-18
30 , 1.77772e-17 , 1.77772e-17
31 , 1.63293e-17 , 1.45149e-17
32 , -5.92733e-19 , -5.47138e-19
33 , 1.88584e-18 , 1.29651e-18
34 , 4.76645e-18 , 4.16877e-18
35 , 2.15206e-18 , 1.77545e-18
37 , -1.81279e-18 , -1.56586e-18
38 , 1.21392e-18 , 1.15727e-18
39 , -6.98903e-18 , -7.54152e-18
40 , 2.72751e-18 , 2.45476e-18
41 , 2.79245e-18 , 2.32705e-18
42 , 1.96266e-18 , 1.84721e-18
43 , -4.80835e-18 , -4.45479e-18
44 , 1.30397e-17 , 1.15056e-17
